trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-109.10754411079763,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",1
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,0,-232.82995607049492,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,0.6770779787632978,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-123.47927470142365,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-179.7363617630623,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-124.06433950093857,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",30,0,-106.88181033285854,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-105.92523422743972,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-34.94388283447605,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-35.86833506703671,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-25.554668539150192,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,8,-40.0404726071986,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-116.80676321166669,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-30.45946717435223,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",30,10,13.488703223980052,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,7.942911668719665,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,9,20.05261925948681,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,9,17.56760969762563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,24.625379195349176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,0,3.6500931746860297,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0.5}",30,18,14.899513227212296,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0.5}",30,0,25.057108116032616,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0.5}",30,0,22.34660583203744,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0.5}",25,7,15.498008406481395,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0.5}",30,0,35.65940721025194,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0.5}",25,8,34.784803809647684,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0.5}",20,9,13.408363633174478,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0.5}",25,11,14.086282667374611,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0.5}",20,0,9.923609736399733,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0, 'a': 0.5}",30,0,29.778691349143607,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",1
