trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9753099120283326, 'a': 0.648}",25,0,-143.3198294286827,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
2,False,"{'e': 0.951229424500714, 'a': 0.646}",25,0,-69.18014002268865,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'e': 0.9277434863285529, 'a': 0.644}",20,0,-166.03864161139094,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
4,False,"{'e': 0.9048374180359595, 'a': 0.642}",20,0,-102.99026455338995,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
5,False,"{'e': 0.8824969025845955, 'a': 0.64}",35,0,-91.39088659291377,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'e': 0.8607079764250578, 'a': 0.638}",30,6,-138.1793044375034,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 3}",1
7,False,"{'e': 0.8394570207692074, 'a': 0.636}",20,0,-52.88867711295617,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'e': 0.8187307530779818, 'a': 0.634}",30,0,-130.78064370740702,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,False,"{'e': 0.7985162187593771, 'a': 0.632}",20,0,-20.56422010985643,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'e': 0.7788007830714049, 'a': 0.63}",25,0,-47.32292656226008,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
11,False,"{'e': 0.7595721232249685, 'a': 0.628}",30,0,-195.05356329015004,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
12,False,"{'e': 0.7408182206817179, 'a': 0.626}",30,0,-124.74799540720457,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
13,False,"{'e': 0.7225273536420722, 'a': 0.624}",25,6,-15.686614359331804,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'e': 0.7046880897187134, 'a': 0.622}",35,23,9.403166681004885,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'e': 0.6872892787909722, 'a': 0.62}",20,0,-51.18297703512184,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
16,False,"{'e': 0.6703200460356393, 'a': 0.618}",30,0,-81.09856988857905,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
17,False,"{'e': 0.6537697851298473, 'a': 0.616}",20,12,2.486989684993493,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'e': 0.6376281516217733, 'a': 0.614}",25,0,-85.87343514810509,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
