trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-114.68954243905523,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-56.518218752401616,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-199.10115368820118,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,False,"{'e': 1.0, 'a': 0.5}",30,0,-84.98375875616803,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-151.7308446693949,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,4,-110.1547516380336,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-216.66438367176912,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-141.97571485873704,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-126.40020009689783,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",30,0,-89.11607689793945,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",30,0,-205.28378470751446,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-105.94789993732843,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",1
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-87.79897182617162,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-159.05212132394388,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
15,False,"{'e': 1.0, 'a': 0.5}",35,0,-99.82865922446156,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-78.58734322363074,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,2,-145.90887370353437,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 2}",1
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-98.83012876785864,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-121.18640747821061,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-91.5907516142621,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-111.11670581102157,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-88.86138804900429,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-170.74162989112702,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-28.81739612845031,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-181.42641272697844,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",30,1,-169.35654510483852,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 4}",1
7,True,"{'e': 1.0, 'a': 0.5}",30,8,-61.812961203467395,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 0}",1
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-61.866463714214824,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-108.75422730357339,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-54.910113362557624,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
